First Name,Last Name,Position,Jersey,Team,gamesPlayed,points,scoringPoints,goals,onePointGoals,twoPointGoals,assists,shots,shotPct,shotsOnGoal,shotsOnGoalPct,twoPointShots,twoPointShotPct,twoPointShotsOnGoal,twoPointShotsOnGoalPct,turnovers,causedTurnovers,groundBalls,touches,totalPasses,faceoffPct,faceoffsWon,faceoffsLost,faceoffs,saa,saves,savePct,scoresAgainst,twoPointGoalsAgainst,numPenalties,pim,powerPlayGoals,powerPlayShots,powerPlayGoalsAgainst,shortHandedGoals,shortHandedShots,unassistedGoals,assistedGoals
Kyle,Pless,LSM,2,Archers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt,Rees,LSM,44,Cannons,8,5,4,2,0,2,1,9,0.2222222222222222,5,0.5555555555555556,8,0.25,4,0.5,2,10,12,36,25,0.02631578947368421,1,37,38,0,0,0,0,0,6,5,0,1,0,0,0,0,2
Myles,Jones,M,8,Atlas,8,10,6,6,6,0,4,32,0.1875,19,0.59375,6,0,3,0.5,7,1,6,130,91,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,6,0
Isaiah,Davis-Allen,SSDM,26,Redwoods,10,0,0,0,0,0,0,1,0,1,1,1,0,1,1,4,2,13,71,66,0.2,2,8,10,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Michael,Sowers,A,22,Waterdogs,10,30,15,15,15,0,15,77,0.19480519480519481,49,0.6363636363636364,2,0,0,0,18,0,11,322,227,0,0,0,0,0,0,0,0,0,1,1,4,11,0,0,0,4,11
Eli,Gobrecht,D,25,Waterdogs,10,2,2,2,2,0,0,2,1,2,1,0,0,0,0,3,9,19,31,26,0.12658227848101267,20,137,158,0,0,0,0,0,2,1.5,0,0,0,0,0,1,1
Ryan,Smith,M,43,Chaos,10,18,14,14,14,0,4,34,0.4117647058823529,22,0.6470588235294118,0,0,0,0,7,0,9,131,90,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3,11
Ian,MacKay,SSDM,55,Chaos,9,12,9,8,7,1,3,26,0.3076923076923077,15,0.5769230769230769,6,0.16666666666666666,4,0.6666666666666666,5,1,6,88,57,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,1,7
Jack,Rowlett,D,99,Chaos,9,0,0,0,0,0,0,3,0,1,0.3333333333333333,3,0,1,0.3333333333333333,1,12,12,65,61,0.4,2,3,5,0,0,0,0,0,6,5.5,0,0,0,0,0,0,0
Peyton,Smith,FO,3,Atlas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romar,Dennis,M,5,Redwoods,10,12,10,7,4,3,2,57,0.12280701754385964,32,0.5614035087719298,33,0.09090909090909091,22,0.6666666666666666,9,1,9,209,143,0,0,0,0,0,0,0,0,0,2,2.5,2,6,0,0,0,5,2
Reece,Eddy,LSM,9,Archers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
Craig,Chick,LSM,13,Cannons,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,24,22,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle,Jackson,M,47,Chaos,9,13,10,10,10,0,3,39,0.2564102564102564,25,0.6410256410256411,5,0,3,0.6,13,2,7,232,180,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,7,3
Kyle,Hartzell,LSM,81,Cannons,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,7,18,17,0.1111111111111111,2,16,18,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Dylan,Gergar,A,,Chrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Drenner,M,22,Cannons,10,24,17,16,15,1,7,43,0.37209302325581395,27,0.627906976744186,2,0.5,1,0.5,5,0,10,267,219,0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,5,11
Mac,O'Keefe,A,7,Archers,10,35,30,26,22,4,5,89,0.29213483146067415,52,0.5842696629213483,12,0.3333333333333333,6,0.5,9,3,23,277,179,0,0,0,0,0,0,0,0,0,3,2,6,14,0,0,0,6,20
Mark,McNeill,SSDM,21,Cannons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick,Resch,SSDM,34,Chaos,10,7,3,2,1,1,4,3,0.6666666666666666,2,0.6666666666666666,1,1,1,1,2,2,10,85,80,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Jackson,Morrill,A,3,Whipsnakes,10,26,11,11,11,0,15,31,0.3548387096774194,27,0.8709677419354839,0,0,0,0,11,2,11,32,319,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Blaze,Riorden,G,0,Chaos,9,4,0,0,0,0,4,0,0,0,0,0,0,0,0,3,2,24,121,118,0,0,0,0,11.361164304864037,135,0.594713656387665,103,11,0,0,0,0,11,0,0,0,0
Chris,Cloutier,A,2,Chaos,5,11,10,10,10,0,1,34,0.29411764705882354,19,0.5588235294117647,0,0,0,0,10,0,5,126,82,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,7
Max,Adler,FO,6,Chaos,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,7,6,3,0.4583333333333333,11,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy,Reh,LSM,10,Chaos,10,3,3,2,1,1,0,10,0.2,5,0.5,8,0.125,3,0.375,4,9,17,74,60,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,1,1
Dylan,Molloy,M,17,Atlas,4,4,3,3,3,0,1,12,0.25,8,0.6666666666666666,1,0,1,1,9,0,2,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bryce,Young,D,41,Whipsnakes,10,1,1,1,1,0,0,4,0.25,1,0.25,3,0,0,0,5,10,15,63,54,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,0,1,0
Chris,Aslanian,M,3,Cannons,10,22,17,13,9,4,5,52,0.25,31,0.5961538461538461,19,0.21052631578947367,9,0.47368421052631576,7,1,3,229,170,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,1,4,9
Jake,Bernhardt,SSDM,83,Whipsnakes,8,1,0,0,0,0,1,4,0,0,0,1,0,0,0,2,1,3,41,35,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJ,Costabile,LSM,9,Chaos,9,5,5,3,1,2,0,10,0.3,5,0.5,6,0.3333333333333333,4,0.6666666666666666,5,3,13,39,24,0,0,4,4,0,0,0,0,0,2,2,0,0,0,0,0,1,2
JT,Giles-Harris,D,1,Chrome,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,11,90,89,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Asher,Nolting,A,32,Cannons,10,41,21,21,21,0,20,59,0.3559322033898305,45,0.7627118644067796,0,0,0,0,16,1,16,341,266,0,0,0,0,0,0,0,0,0,5,2.5,1,4,0,0,0,13,8
Jonathan,Donville,M,33,Cannons,10,23,12,12,12,0,11,36,0.3333333333333333,29,0.8055555555555556,0,0,0,0,6,1,10,203,161,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,3,9
Ryan,McNulty,LSM,5,Chaos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin,Inacio,FO,30,Archers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach,Currier,M,77,Waterdogs,10,14,5,5,5,0,9,28,0.17857142857142858,16,0.5714285714285714,2,0,1,0.5,10,7,50,235,197,0.5862068965517241,34,24,58,0,0,0,0,0,0,0,0,1,0,0,0,1,4
Nick,Grill,LSM,8,Chrome,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,12,41,40,0,0,3,3,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
Kyle,Bernlohr,G,35,Whipsnakes,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,18,88,86,0,0,0,0,12.711930416720756,73,0.532846715328467,68,4,0,0,0,0,4,0,0,0,0
Jack,Concannon,G,12,Atlas,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,69,64,0,0,0,0,13.85518590998043,105,0.495283018867924,118,11,0,0,0,0,7,0,0,0,0
Mark,Cockerton,A,41,Atlas,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake,Pulver,D,12,Cannons,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,22,20,0.07142857142857142,2,26,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Kielty,D,40,Cannons,10,0,0,0,0,0,0,2,0,1,0.5,1,0,0,0,0,11,17,81,79,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
Finn,Sullivan,D,36,Cannons,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wes,Berg,A,14,Redwoods,10,23,21,21,21,0,2,43,0.4883720930232558,34,0.7906976744186046,0,0,0,0,9,1,21,192,140,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,4,17
Mark,Glicini,SSDM,16,Chaos,10,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,2,5,43,41,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Johnny,Surdick,D,18,Chaos,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin,Kaut,G,14,Chaos,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,13,0,0,0,0,12.999999999999998,15,0.535714285714286,13,0,1,1,0,0,2,0,0,0,0
Josh,Byrne,A,22,Chaos,6,21,15,15,15,0,6,46,0.32608695652173914,31,0.6739130434782609,0,0,0,0,15,2,11,176,115,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,7
Jack,Hannah,M,3,Waterdogs,7,19,15,12,9,3,4,43,0.27906976744186046,28,0.6511627906976745,5,0.6,4,0.8,8,1,8,135,84,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,6,6
Max,Wayne,D,66,Cannons,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,22,44,41,0,0,0,0,0,0,0,0,0,4,3.5,0,0,0,0,0,0,0
Jake,Higgins,SSDM,41,Waterdogs,8,3,2,2,2,0,1,4,0.5,3,0.75,1,0,1,1,6,5,9,47,37,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
Alexander,Smith,SSDM,39,Chrome,10,1,0,0,0,0,1,1,0,1,1,0,0,0,0,2,2,11,58,55,0,0,0,0,0,0,0,0,0,3,2.5,0,0,0,0,0,0,0
Grant,Ammann,D,30,Atlas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan,Rall,LSM,35,Cannons,9,1,1,1,1,0,0,2,0.5,1,0.5,1,0,0,0,3,20,30,40,35,0.056074766355140186,6,101,107,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Josh,Stout,A,7,Cannons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrod,Neumann,D,88,Chaos,10,2,2,1,0,1,0,7,0.14285714285714285,1,0.14285714285714285,7,0.14285714285714285,1,0.14285714285714285,1,4,18,50,42,0,0,0,0,0,0,0,0,0,3,1.5,0,0,0,0,0,0,1
Dhane,Smith,M,92,Chaos,8,30,5,5,5,0,25,24,0.20833333333333334,17,0.7083333333333334,2,0,1,0.5,25,0,4,318,269,0,0,0,0,0,0,0,0,0,2,1.5,0,1,0,0,0,2,3
Chase,Fraser,A,95,Chaos,3,4,4,4,4,0,0,17,0.23529411764705882,11,0.6470588235294118,2,0,0,0,4,1,4,59,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2
Eli,Salama,LSM,3,Chrome,10,3,2,1,0,1,1,7,0.14285714285714285,3,0.42857142857142855,5,0.2,3,0.6,7,6,13,36,22,0,0,28,28,0,0,0,0,0,3,3,0,0,0,0,0,0,1
Michael,Manley,D,5,Chrome,10,2,2,2,2,0,0,12,0.16666666666666666,8,0.6666666666666666,7,0,4,0.5714285714285714,6,8,25,107,89,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1
Will,Haus,SSDM,6,Chrome,9,2,1,1,1,0,1,5,0.2,3,0.6,1,0,0,0,1,1,6,61,55,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1
Nick,Washuta,G,18,Archers,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,10,0,0,0,0,18.964003511852503,14,0.518518518518518,15,2,0,0,0,0,1,0,0,0,0
Justin,Anderson,M,21,Chrome,10,10,9,9,9,0,1,37,0.24324324324324326,27,0.7297297297297297,6,0,6,1,10,3,2,187,140,0,0,0,0,0,0,0,0,0,1,1,3,6,0,0,0,2,7
Connor,Farrell,FO,25,Chrome,8,0,0,0,0,0,0,2,0,2,1,0,0,0,0,16,2,79,67,49,0.6130952380952381,103,64,168,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Ryan,Terefenko,SSDM,34,Chrome,10,5,3,3,3,0,2,15,0.2,8,0.5333333333333333,0,0,0,0,8,2,14,118,95,0,0,2,2,0,0,0,0,0,1,0.5,0,0,0,0,1,0,3
Jesse,Bernhardt,D,36,Chrome,8,4,0,0,0,0,4,4,0,0,0,2,0,0,0,1,11,20,80,75,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Sean,Sconone,G,50,Chrome,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,15,140,133,0,0,0,0,11.963320009405127,107,0.524509803921569,106,9,0,0,0,0,11,0,0,0,0
Greg,Weyl,D,57,Chrome,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,2,4,10,9,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,0,1,0
Kevin,Rogers,M,28,Redwoods,2,4,2,2,2,0,2,7,0.2857142857142857,6,0.8571428571428571,1,0,1,1,1,0,2,47,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Tim,Troutner,G,0,Redwoods,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt,Kavanagh,A,50,Cannons,8,24,14,14,14,0,10,51,0.27450980392156865,30,0.5882352941176471,0,0,0,0,13,4,16,252,188,0,0,0,0,0,0,0,0,0,2,1.5,2,2,0,0,0,5,9
Eddy,Glazener,D,30,Redwoods,10,1,1,1,1,0,0,6,0.16666666666666666,3,0.5,4,0,1,0.25,4,9,15,86,76,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,0,1,0
Mikie,Schlosser,M,59,Waterdogs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nakeie,Montgomery,M,1,Redwoods,10,9,4,3,2,1,5,31,0.0967741935483871,19,0.6129032258064516,6,0.16666666666666666,4,0.6666666666666666,9,1,17,132,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Keegan,Khan,M,76,Whipsnakes,8,7,5,5,5,0,2,14,0.35714285714285715,10,0.7142857142857143,0,0,0,0,2,0,4,87,71,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,2
Matt,Whitcher,SSDM,33,Waterdogs,10,5,5,5,5,0,0,12,0.4166666666666667,9,0.75,0,0,0,0,2,8,23,71,57,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,4,1
Mike,Chanenchuk,M,1,Whipsnakes,10,27,20,17,14,3,7,52,0.3269230769230769,36,0.6923076923076923,11,0.2727272727272727,7,0.6363636363636364,6,0,6,258,200,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,5,12
Jack,Myers,M,15,Chrome,4,4,2,2,2,0,2,6,0.3333333333333333,6,1,0,0,0,0,4,0,0,60,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Rob,Pannell,A,3,Redwoods,10,34,15,15,15,0,19,68,0.22058823529411764,39,0.5735294117647058,3,0,2,0.6666666666666666,39,1,24,420,313,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,9,6
TD,Ierlan,FO,6,Redwoods,10,2,1,1,1,0,1,9,0.1111111111111111,7,0.7777777777777778,0,0,0,0,5,3,118,113,99,0.6778242677824268,162,77,239,0,0,0,0,0,2,1.5,0,0,0,0,0,0,1
Jules,Heningburg,M,7,Redwoods,10,13,7,7,7,0,6,31,0.22580645161290322,20,0.6451612903225806,4,0,3,0.75,13,0,7,184,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
Sergio,Perkovic,SSDM,16,Redwoods,6,0,0,0,0,0,0,16,0,4,0.25,2,0,1,0.5,5,1,6,82,61,0,0,0,0,0,0,0,0,0,3,3.5,0,0,0,0,0,0,0
Tyler,Warner,SSDM,5,Whipsnakes,10,1,1,1,1,0,0,4,0.25,1,0.25,2,0,0,0,2,1,12,45,39,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,1
Charlie,Bertrand,M,41,Redwoods,9,12,7,7,7,0,5,35,0.2,16,0.45714285714285713,1,0,1,1,13,1,8,218,170,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,7
Ryan,Conrad,M,15,Waterdogs,8,12,8,7,6,1,4,24,0.2916666666666667,18,0.75,2,0.5,1,0.5,9,1,4,157,124,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,5
Chris,Sabia,LSM,16,Waterdogs,5,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,5,12,37,35,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0
Ryland,Rees,LSM,17,Waterdogs,8,2,1,1,1,0,1,6,0.16666666666666666,4,0.6666666666666666,5,0,3,0.6,2,8,11,26,18,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Liam,Byrnes,D,21,Waterdogs,10,2,0,0,0,0,2,4,0,0,0,0,0,0,0,4,7,25,87,79,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Jesse,King,M,19,Chrome,6,8,3,3,3,0,5,12,0.25,9,0.75,1,0,1,1,9,1,2,101,80,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,1,2
Charlie,Hayes,SSDM,23,Waterdogs,9,4,2,2,2,0,2,5,0.4,4,0.8,1,0,1,1,2,6,15,47,40,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0
Brad,Smith,M,27,Whipsnakes,5,11,6,5,4,1,5,20,0.25,13,0.65,6,0.16666666666666666,3,0.5,7,1,6,120,93,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3
Michael,Ehrhardt,LSM,28,Whipsnakes,8,8,6,5,4,1,2,22,0.22727272727272727,8,0.36363636363636365,14,0.07142857142857142,3,0.21428571428571427,4,6,16,67,41,0,0,0,0,0,0,0,0,0,4,3.5,0,0,0,0,0,2,3
Brian,Phipps,G,30,Whipsnakes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,19.978655282817503,9,0.428571428571429,13,1,0,0,0,0,1,0,0,0,0
Matthew,Dunn,D,33,Whipsnakes,8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,8,14,70,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor,Kirst,SSDM,34,Whipsnakes,10,9,8,7,6,1,1,17,0.4117647058823529,10,0.5882352941176471,3,0.3333333333333333,1,0.3333333333333333,5,3,25,101,79,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,7
Brett,Kennedy,LSM,11,Whipsnakes,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,7,23,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Sam,Handley,M,26,Chrome,9,14,11,10,9,1,3,46,0.21739130434782608,26,0.5652173913043478,12,0.08333333333333333,7,0.5833333333333334,15,1,7,178,117,0,0,0,0,0,0,0,0,0,1,0.5,0,2,0,0,1,9,1
Cross,Ferrara,A,22,Chrome,8,14,12,12,12,0,2,54,0.2222222222222222,35,0.6481481481481481,3,0,1,0.3333333333333333,11,1,8,281,216,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,6
Owen,Grant,LSM,81,Redwoods,3,2,2,1,0,1,0,6,0.16666666666666666,3,0.5,5,0.2,2,0.4,1,3,2,16,9,0,0,3,3,0,0,0,0,0,2,1.5,0,0,0,0,0,0,1
Joseph,Nardella,FO,91,Whipsnakes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole,Williams,M,14,Chrome,2,1,1,1,1,0,0,6,0.16666666666666666,3,0.5,1,0,0,0,6,0,0,27,15,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
James,Reilly,FO,13,Waterdogs,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0.3783783783783784,14,23,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
